id_transaccion,fecha_venta,producto,cantidad,precio_unitario,cliente_id,provincia,metodo_pago,vendedor,costo_envio
TRX-10485,2023-01-23,Vino Blend,16,2158.54,CLI-662,Mendoza,Transferencia,Marta Gómez,1068.14
TRX-10805,2023-08-23,,15,5421.76,CLI-1431,San Juan,Transferencia,Soporte Ventas,291.51
TRX-12404,2023-11-02,Cabernet Sauvignon,20,1819.46,CLI-1116,La Rioja,Efectivo,Soporte Ventas,777.58
TRX-12284,2024-01-25,Vino Rosado,7,10759.06,CLI-1391,Catamarca,Efectivo,Ana García,1348.09
TRX-11135,2023-11-29,Espumante,17,,CLI-1434,Mendoza,Transferencia,Juan Pérez,1251.09
TRX-11916,2023-02-20,Vino Rosado,7,7266.05,CLI-775,Catamarca,Efectivo,Soporte Ventas,809.52
TRX-12134,2023-07-19,Bonarda,8,6980.72,CLI-940,San Juan,Efectivo,Luis Rodriguez,1246.41
TRX-10157,2023-12-12,Vino Blend,1,5834.54,CLI-680,Catamarca,Efectivo,Ana García,1275.73
TRX-11544,2023-10-22,Espumante,18,,CLI-623,La Rioja,Efectivo,Luis Rodriguez,411.35
TRX-10751,2023-02-17,Vino Rosado,22,4389.54,CLI-1371,San Juan,Efectivo,Ana García,1033.53
TRX-11459,2023-04-12,Cabernet Sauvignon,5,1564.93,CLI-1489,San Juan,Tarjeta de Crédito,Marta Gómez,1323.58
TRX-11405,2024-03-24,Espumante,4,7098.9,CLI-624,Neuquén,Transferencia,Marta Gómez,1440.35
TRX-10416,2024-02-29,Espumante,23,7563.7,CLI-518,Catamarca,Transferencia,Ana García,787.14
TRX-11117,2023-04-11,Vino Malbec,3,9296.33,CLI-614,Catamarca,,Luis Rodriguez,1476.26
TRX-11743,2023-01-13,Espumante,19,9529.61,CLI-841,Catamarca,Efectivo,Juan Pérez,1403.24
TRX-10223,2023-02-08,Syrah,22,4782.43,CLI-1131,Salta,Transferencia,Ana García,1178.97
TRX-11310,2023-06-11,Bonarda,16,5893.55,CLI-761,San Juan,App Mobile,Ana García,1205.96
TRX-10822,2023-02-26,Cabernet Sauvignon,16,7304.98,CLI-1395,Mendoza,Efectivo,Luis Rodriguez,617.91
TRX-10239,2024-01-15,Syrah,10,4543.39,CLI-734,San Juan,Tarjeta de Crédito,Ana García,1430.88
TRX-11212,2023-05-03,,4,11292.24,CLI-828,La Rioja,Transferencia,Ana García,955.61
TRX-11121,2023-03-13,,5,4605.0,CLI-544,Neuquén,Efectivo,Soporte Ventas,607.08
TRX-11909,2023-04-01,Vino Malbec,7,1977.67,CLI-1372,Salta,Tarjeta de Crédito,Soporte Ventas,410.41
TRX-10106,2023-09-15,Bonarda,1,2080.44,CLI-1339,Catamarca,Transferencia,Juan Pérez,309.47
TRX-10497,2023-06-01,Bonarda,24,2684.49,CLI-1374,Mendoza,Transferencia,Juan Pérez,1472.27
TRX-10681,2023-01-19,Bonarda,19,8814.24,CLI-902,San Juan,,Luis Rodriguez,631.08
TRX-10116,2023-04-20,Syrah,5,11148.51,CLI-890,Neuquén,Transferencia,Juan Pérez,599.43
TRX-10066,2024-03-04,Vino Blend,15,7468.51,CLI-1263,La Rioja,App Mobile,Soporte Ventas,967.89
TRX-11066,2023-12-28,Cabernet Sauvignon,19,2406.29,CLI-935,Neuquén,Tarjeta de Crédito,Ana García,236.71
TRX-12490,2024-01-26,Vino Chardonnay,13,10132.96,CLI-741,Neuquén,Efectivo,Marta Gómez,784.29
TRX-11120,2023-08-08,Vino Rosado,18,7977.74,CLI-895,Catamarca,Tarjeta de Crédito,Luis Rodriguez,1315.55
TRX-10297,2023-09-30,Espumante,1,6260.64,CLI-638,Neuquén,Transferencia,Soporte Ventas,1253.32
TRX-10036,2023-03-19,Vino Rosado,19,5988.72,CLI-1434,Mendoza,Tarjeta de Crédito,Luis Rodriguez,508.29
TRX-11366,2023-01-07,Syrah,17,10021.04,CLI-793,Neuquén,Transferencia,Soporte Ventas,393.92
TRX-10168,2024-01-02,Vino Blend,16,,CLI-1306,Neuquén,,Marta Gómez,1486.67
TRX-11335,2023-07-13,Vino Blend,14,10343.92,CLI-954,San Juan,Tarjeta de Crédito,Soporte Ventas,1463.99
TRX-12372,2023-02-16,Syrah,20,3685.75,CLI-1323,Mendoza,Efectivo,Ana García,374.07
TRX-11437,2024-03-21,Syrah,10,7606.0,CLI-963,Neuquén,App Mobile,Ana García,1145.8
TRX-10957,2023-06-17,Bonarda,1,5422.36,CLI-768,Neuquén,App Mobile,Ana García,996.27
TRX-12031,2023-03-29,Vino Chardonnay,16,3694.16,CLI-1051,San Juan,Transferencia,Luis Rodriguez,1247.83
TRX-11332,2023-12-12,Espumante,24,5330.53,CLI-631,Neuquén,Efectivo,Juan Pérez,1063.11
TRX-11448,2023-06-28,Bonarda,14,9165.35,CLI-732,Catamarca,App Mobile,Luis Rodriguez,285.21
TRX-11636,2023-05-29,Cabernet Sauvignon,17,11554.41,CLI-1162,La Rioja,Tarjeta de Crédito,Ana García,1023.44
TRX-10041,2023-11-13,Vino Blend,6,5368.98,CLI-891,Mendoza,App Mobile,Marta Gómez,473.3
TRX-11456,2023-11-14,Syrah,15,3523.97,CLI-797,La Rioja,,Soporte Ventas,1406.89
TRX-10523,2023-08-24,Vino Chardonnay,4,9694.37,CLI-804,Mendoza,App Mobile,Soporte Ventas,827.84
TRX-11480,2023-03-24,Syrah,17,4161.82,CLI-623,Salta,App Mobile,Soporte Ventas,234.75
TRX-11229,2024-03-01,Vino Blend,15,7584.56,CLI-1016,Catamarca,Efectivo,Marta Gómez,384.79
TRX-11329,2023-02-11,Cabernet Sauvignon,17,5918.71,CLI-847,Neuquén,,Juan Pérez,1155.69
TRX-11000,2023-12-16,Cabernet Sauvignon,24,11153.34,CLI-908,Catamarca,Transferencia,Luis Rodriguez,1195.02
TRX-11274,2024-03-07,Vino Chardonnay,21,9144.42,CLI-968,Salta,Tarjeta de Crédito,Juan Pérez,892.04
TRX-11662,2023-05-11,Cabernet Sauvignon,21,2791.23,CLI-513,Catamarca,Transferencia,Marta Gómez,1133.86
TRX-10246,2023-06-16,Vino Malbec,10,9676.24,CLI-551,Catamarca,Efectivo,Luis Rodriguez,449.72
TRX-11658,2023-10-22,Vino Blend,2,4088.5,CLI-669,La Rioja,Transferencia,Soporte Ventas,1121.19
TRX-10228,2023-09-27,Vino Malbec,20,5564.41,CLI-1235,Mendoza,,Ana García,330.07
TRX-10988,2024-01-14,Bonarda,1,7493.21,CLI-1275,Neuquén,App Mobile,Juan Pérez,568.7
TRX-10079,2023-07-17,Espumante,20,10400.6,CLI-937,San Juan,Efectivo,Marta Gómez,1009.19
TRX-10530,2024-01-24,Vino Rosado,10,3070.54,CLI-563,San Juan,Tarjeta de Crédito,Marta Gómez,1314.73
TRX-11374,2023-03-27,Cabernet Sauvignon,4,10168.54,CLI-945,San Juan,Transferencia,Ana García,267.73
TRX-11611,2023-04-20,Vino Rosado,4,6522.71,CLI-614,Salta,Tarjeta de Crédito,Juan Pérez,759.16
TRX-10185,2023-12-13,Vino Chardonnay,20,,CLI-1058,San Juan,Efectivo,Marta Gómez,481.36
TRX-11382,2024-03-22,Syrah,13,3781.82,CLI-768,Neuquén,,Juan Pérez,541.34
TRX-11882,2023-01-30,Syrah,8,9060.85,CLI-1281,Mendoza,,Ana García,604.25
TRX-10242,2023-05-19,Bonarda,20,7543.79,CLI-1452,Salta,Tarjeta de Crédito,Juan Pérez,1058.73
TRX-12076,2023-11-18,,3,11221.37,CLI-1492,Catamarca,,Juan Pérez,956.83
TRX-10891,2023-12-31,Vino Rosado,18,6832.79,CLI-1181,Neuquén,Transferencia,Luis Rodriguez,1367.1
TRX-12154,2023-01-06,Bonarda,14,7690.16,CLI-895,Catamarca,App Mobile,Soporte Ventas,1113.3
TRX-11412,2023-11-01,Bonarda,7,10103.65,CLI-692,Mendoza,App Mobile,Juan Pérez,894.47
TRX-11889,2024-02-08,Vino Blend,9,1853.17,CLI-1372,San Juan,Efectivo,Marta Gómez,1172.88
TRX-11483,2023-08-30,,21,7999.51,CLI-625,Catamarca,Efectivo,Soporte Ventas,368.67
TRX-10410,2023-12-19,Syrah,5,7876.91,CLI-1415,San Juan,App Mobile,Marta Gómez,1144.98
TRX-12039,2024-01-28,Vino Chardonnay,12,3226.76,CLI-671,San Juan,Transferencia,Soporte Ventas,691.38
TRX-11406,2023-02-18,Bonarda,5,9063.76,CLI-1363,Salta,Transferencia,Ana García,232.87
TRX-11363,2023-02-13,Vino Malbec,4,5712.42,CLI-589,Neuquén,Tarjeta de Crédito,Juan Pérez,1011.89
TRX-10900,2023-05-30,Syrah,8,11306.65,CLI-1294,Mendoza,Transferencia,Ana García,450.14
TRX-11217,2023-03-13,Vino Blend,24,6661.74,CLI-1241,Mendoza,Tarjeta de Crédito,Soporte Ventas,1335.64
TRX-10145,2023-07-16,Vino Blend,12,4629.76,CLI-1067,Mendoza,Transferencia,Soporte Ventas,1192.97
TRX-10672,2024-01-06,Syrah,15,7523.54,CLI-1303,Mendoza,App Mobile,Juan Pérez,1061.71
TRX-12265,2023-03-24,,4,3063.69,CLI-1080,Neuquén,App Mobile,Ana García,1180.63
TRX-10763,2023-08-05,Vino Chardonnay,7,9288.68,CLI-1076,Salta,Transferencia,Marta Gómez,1273.94
TRX-10892,2023-11-06,Vino Chardonnay,21,7416.23,CLI-951,Catamarca,App Mobile,Soporte Ventas,1219.67
TRX-10084,2023-10-12,,19,8186.41,CLI-548,Mendoza,Efectivo,Marta Gómez,801.01
TRX-12428,2023-08-01,Vino Malbec,24,6509.1,CLI-681,Catamarca,App Mobile,Soporte Ventas,1192.83
TRX-10544,2023-08-31,Espumante,15,10887.41,CLI-568,Mendoza,Tarjeta de Crédito,Marta Gómez,345.34
TRX-10961,2023-07-26,Vino Blend,24,7915.68,CLI-1344,Catamarca,Tarjeta de Crédito,Marta Gómez,1382.38
TRX-12287,2023-12-30,Vino Malbec,18,,CLI-751,Salta,App Mobile,Ana García,851.82
TRX-12136,2023-06-26,Vino Rosado,17,6963.32,CLI-554,Neuquén,,Juan Pérez,227.09
TRX-10501,2023-04-06,Vino Rosado,9,4817.13,CLI-1406,Catamarca,Efectivo,Juan Pérez,1380.72
TRX-10747,2024-02-19,Espumante,1,5680.08,CLI-1316,Salta,App Mobile,Marta Gómez,537.86
TRX-10172,2023-12-23,Vino Malbec,12,2780.66,CLI-867,San Juan,App Mobile,Soporte Ventas,1401.2
TRX-12239,2023-09-09,Bonarda,14,8881.45,CLI-1360,Catamarca,Tarjeta de Crédito,Soporte Ventas,1430.61
TRX-12289,2023-07-29,Espumante,14,9164.87,CLI-1382,Mendoza,,Soporte Ventas,612.3
TRX-10029,2023-10-10,Bonarda,2,4996.22,CLI-1040,Salta,App Mobile,Juan Pérez,487.08
TRX-10001,2023-05-06,Espumante,20,6641.95,CLI-725,Catamarca,Efectivo,Soporte Ventas,734.76
TRX-11990,2023-12-14,Syrah,7,3922.54,CLI-705,San Juan,App Mobile,Marta Gómez,242.88
TRX-10015,2024-02-16,Vino Rosado,0,11000.43,CLI-1058,Salta,App Mobile,Juan Pérez,937.59
TRX-11392,2023-06-14,Espumante,20,9016.95,CLI-946,Catamarca,,Juan Pérez,1077.68
TRX-10856,2023-09-03,Vino Chardonnay,4,10378.56,CLI-1477,Catamarca,Tarjeta de Crédito,Ana García,1235.15
TRX-11914,2023-12-03,Vino Chardonnay,2,8218.71,CLI-748,La Rioja,Transferencia,Soporte Ventas,990.52
TRX-12319,2023-03-18,Cabernet Sauvignon,14,3603.66,CLI-1143,LA RIOJA,,Luis Rodriguez,934.97
TRX-10538,2023-09-28,Vino Rosado,5,3608.46,CLI-981,San Juan,,Soporte Ventas,333.54
TRX-11471,2023-10-05,Cabernet Sauvignon,11,3150.57,CLI-1378,Mendoza,Tarjeta de Crédito,Ana García,659.89
TRX-11667,2023-09-20,Cabernet Sauvignon,3,5809.07,CLI-1154,San Juan,Transferencia,Juan Pérez,1208.11
TRX-10709,2024-01-05,Vino Rosado,21,2333.07,CLI-545,Neuquén,Transferencia,Marta Gómez,586.39
TRX-11505,2023-05-20,Bonarda,12,10034.33,CLI-1332,Mendoza,Tarjeta de Crédito,Marta Gómez,798.67
TRX-10765,2023-11-11,Syrah,4,3069.68,CLI-687,Mendoza,App Mobile,Luis Rodriguez,1133.36
TRX-11417,2023-01-09,Espumante,17,6229.38,CLI-1329,Neuquén,Tarjeta de Crédito,Juan Pérez,1246.16
TRX-11034,2024-02-21,Vino Blend,19,9817.17,CLI-1179,Salta,Tarjeta de Crédito,Marta Gómez,1074.61
TRX-11661,2024-01-16,Syrah,24,8576.3,CLI-1429,Catamarca,,Luis Rodriguez,213.06
TRX-12119,2023-11-13,Vino Rosado,4,10567.95,CLI-719,Catamarca,,Ana García,1318.42
TRX-11193,2023-07-25,Bonarda,22,2003.02,CLI-609,Neuquén,Efectivo,Juan Pérez,1441.15
TRX-11065,2023-04-25,Vino Blend,23,10144.5,CLI-1141,San Juan,Efectivo,Ana García,998.84
TRX-12077,2023-04-27,Vino Blend,23,9491.46,CLI-565,Salta,Efectivo,Ana García,326.67
TRX-11018,2023-05-27,Bonarda,6,3105.29,CLI-793,Mendoza,Efectivo,Marta Gómez,926.87
TRX-11220,2023-09-15,Vino Rosado,1,,CLI-564,Catamarca,,Juan Pérez,452.02
TRX-11963,2023-06-16,Espumante,19,2687.53,CLI-830,Salta,Transferencia,Marta Gómez,646.25
TRX-11353,2023-04-25,Cabernet Sauvignon,6,3138.89,CLI-519,San Juan,Efectivo,Luis Rodriguez,289.2
TRX-12115,2024-02-13,Cabernet Sauvignon,3,3945.7,CLI-511,Catamarca,,Soporte Ventas,1412.59
TRX-12188,2023-03-27,Vino Chardonnay,10,7506.9,CLI-1299,Neuquén,Transferencia,Ana García,1106.32
TRX-10675,2024-02-20,Bonarda,6,6908.47,CLI-1196,Catamarca,Transferencia,Ana García,1107.98
TRX-12009,2024-02-06,Vino Rosado,16,3013.61,CLI-1101,Mendoza,,Juan Pérez,1176.44
TRX-10803,2024-02-24,Syrah,13,11806.66,CLI-729,Neuquén,Tarjeta de Crédito,Ana García,332.86
TRX-11964,2024-03-12,Vino Malbec,18,8908.67,CLI-744,Catamarca,,Marta Gómez,1389.22
TRX-10509,2023-12-08,Vino Malbec,1,6914.69,CLI-783,La Rioja,Efectivo,Soporte Ventas,778.04
TRX-10262,2023-04-22,Vino Malbec,12,11003.23,CLI-1433,Catamarca,,Marta Gómez,927.66
TRX-10521,2023-06-18,Vino Rosado,24,6360.87,CLI-942,San Juan,,Soporte Ventas,764.68
TRX-11755,2023-10-24,Syrah,9,7557.95,CLI-1429,Catamarca,Tarjeta de Crédito,Soporte Ventas,257.09
TRX-11535,2023-06-29,Vino Blend,11,8018.38,CLI-896,San Juan,Efectivo,Ana García,1069.35
TRX-12140,2023-10-26,Vino Rosado,4,10071.27,CLI-1493,Mendoza,Transferencia,Ana García,869.87
TRX-12139,2023-06-15,Bonarda,16,2922.32,CLI-1494,Mendoza,,Soporte Ventas,712.52
TRX-11077,2023-09-12,Cabernet Sauvignon,6,5270.47,CLI-736,Neuquén,Tarjeta de Crédito,Ana García,1157.9
TRX-12051,2023-01-30,Vino Blend,19,5490.41,CLI-756,Neuquén,Tarjeta de Crédito,Soporte Ventas,1314.37
TRX-11167,2023-02-18,Vino Malbec,13,1806.94,CLI-889,Catamarca,,Juan Pérez,705.97
TRX-12072,2023-04-28,Espumante,24,10125.32,CLI-664,La Rioja,App Mobile,Soporte Ventas,901.83
TRX-11175,2023-12-27,,21,3379.05,CLI-781,Catamarca,Efectivo,Marta Gómez,669.13
TRX-10722,2023-09-14,Cabernet Sauvignon,23,2594.86,CLI-947,La Rioja,Transferencia,Luis Rodriguez,636.1
TRX-10333,2023-01-20,Vino Rosado,4,6185.66,CLI-826,Salta,,Juan Pérez,463.08
TRX-10584,2024-03-15,Bonarda,3,5612.4,CLI-1128,Catamarca,,Ana García,399.0
TRX-10927,2023-07-04,Vino Rosado,7,2191.11,CLI-1430,La Rioja,Transferencia,Juan Pérez,1288.33
TRX-11410,2023-08-03,Vino Rosado,11,,CLI-1131,Mendoza,,Juan Pérez,223.07
TRX-10486,2023-06-21,Syrah,1,2199.19,CLI-990,Catamarca,App Mobile,Marta Gómez,1165.89
TRX-11496,2024-01-10,,13,10581.66,CLI-546,La Rioja,Tarjeta de Crédito,Juan Pérez,846.06
TRX-11503,2023-07-21,Vino Malbec,19,3281.0,CLI-1089,Neuquén,Transferencia,Juan Pérez,1147.09
TRX-11266,2023-03-19,Bonarda,5,11100.37,CLI-1172,La Rioja,App Mobile,Luis Rodriguez,680.44
TRX-10417,2024-01-17,Espumante,3,4428.95,CLI-1434,La Rioja,Transferencia,Ana García,217.74
TRX-11587,2023-11-20,Vino Blend,24,3991.97,CLI-708,Salta,,Soporte Ventas,1199.13
TRX-10199,2023-05-25,Cabernet Sauvignon,17,9731.35,CLI-1383,La Rioja,App Mobile,Ana García,1077.74
TRX-11911,2023-05-03,Espumante,10,,CLI-668,Salta,Efectivo,Marta Gómez,1341.04
TRX-10553,2023-02-09,Syrah,19,11937.81,CLI-1094,Salta,,Marta Gómez,1326.69
TRX-12371,2023-04-21,Bonarda,13,10138.5,CLI-1037,Neuquén,App Mobile,Soporte Ventas,1156.33
TRX-12177,2024-01-30,Bonarda,13,9981.86,CLI-1193,San Juan,Efectivo,Juan Pérez,1026.65
TRX-11907,2023-01-08,Bonarda,23,3561.08,CLI-1385,Catamarca,App Mobile,Soporte Ventas,1204.64
TRX-11767,2023-01-02,,11,8843.66,CLI-1363,Mendoza,Tarjeta de Crédito,Marta Gómez,968.23
TRX-10641,2023-12-14,Bonarda,11,2064.14,CLI-1424,Neuquén,Tarjeta de Crédito,Marta Gómez,208.68
TRX-11232,2023-12-01,Syrah,14,,CLI-1176,Salta,App Mobile,Marta Gómez,928.85
TRX-12153,2023-04-15,Vino Rosado,21,7395.71,CLI-961,Neuquén,Efectivo,Ana García,465.98
TRX-11361,2023-02-23,Vino Chardonnay,17,9610.75,CLI-702,Salta,Transferencia,Ana García,1254.32
TRX-12070,2023-04-12,Vino Rosado,11,4470.14,CLI-1289,Mendoza,,Marta Gómez,1253.5
TRX-12147,2023-01-12,Vino Malbec,9,2017.95,CLI-761,Salta,Transferencia,Luis Rodriguez,694.4
TRX-10243,2023-12-01,Bonarda,21,6393.88,CLI-1483,San Juan,Efectivo,Ana García,587.86
TRX-10828,2023-08-06,Espumante,9,,CLI-1393,Salta,Tarjeta de Crédito,Soporte Ventas,317.38
TRX-10754,2023-01-22,Vino Malbec,23,2606.98,CLI-679,Catamarca,,Juan Pérez,636.63
TRX-11005,2024-01-06,Vino Chardonnay,11,6593.58,CLI-549,Salta,Tarjeta de Crédito,Marta Gómez,556.49
TRX-10734,2023-03-15,Bonarda,3,1856.18,CLI-848,San Juan,Transferencia,Ana García,458.03
TRX-11131,2023-08-21,Vino Rosado,15,3966.8,CLI-515,Catamarca,Tarjeta de Crédito,Juan Pérez,820.83
TRX-11370,2023-04-22,Espumante,10,2122.82,CLI-1339,Catamarca,Efectivo,Marta Gómez,1245.75
TRX-11094,2023-12-23,Bonarda,8,9632.46,CLI-1265,San Juan,Transferencia,Marta Gómez,875.01
TRX-11607,2023-01-29,Vino Malbec,3,4012.56,CLI-984,Catamarca,Tarjeta de Crédito,Luis Rodriguez,1098.04
TRX-10798,2023-07-26,Bonarda,16,9982.99,CLI-1081,Mendoza,Tarjeta de Crédito,Soporte Ventas,1287.72
TRX-12027,2023-12-20,Espumante,16,5566.12,CLI-654,San Juan,Efectivo,Juan Pérez,594.76
TRX-11112,2023-08-12,Vino Rosado,24,1522.95,CLI-843,Catamarca,,Juan Pérez,1208.22
TRX-11647,2023-08-05,Bonarda,14,5204.7,CLI-603,Catamarca,Transferencia,Juan Pérez,231.54
TRX-11675,2023-10-03,Espumante,12,9883.13,CLI-891,San Juan,Tarjeta de Crédito,Marta Gómez,213.74
TRX-11142,2023-11-27,Vino Chardonnay,1,8402.07,CLI-1078,La Rioja,,Juan Pérez,1209.04
TRX-12135,2024-01-06,Vino Rosado,4,8060.72,CLI-1314,Salta,,Luis Rodriguez,649.45
TRX-10472,2024-03-21,Vino Rosado,14,8531.53,CLI-519,Mendoza,,Soporte Ventas,1272.75
TRX-11242,19/08/2023,Espumante,22,3313.96,CLI-563,San Juan,App Mobile,Soporte Ventas,1002.32
TRX-10731,2024-01-02,Vino Blend,7,4566.51,CLI-627,Mendoza,Transferencia,Marta Gómez,1185.41
TRX-10757,2024-02-15,Vino Rosado,4,11842.98,CLI-1002,Salta,Tarjeta de Crédito,Ana García,439.19
TRX-12049,2023-12-16,Vino Malbec,13,4271.76,CLI-566,Salta,Transferencia,Marta Gómez,461.56
TRX-11223,2023-12-19,Cabernet Sauvignon,16,11995.13,CLI-1388,Neuquén,Transferencia,Luis Rodriguez,294.42
TRX-11290,2023-12-15,Vino Chardonnay,23,10679.71,CLI-536,Neuquén,Efectivo,Marta Gómez,312.92
TRX-10080,2023-11-02,Bonarda,23,11093.36,CLI-709,San Juan,Transferencia,Ana García,745.7
TRX-11817,2023-12-29,Bonarda,16,3196.89,CLI-619,Mendoza,Transferencia,Juan Pérez,298.24
TRX-12471,2023-02-20,Syrah,16,6939.86,CLI-1119,San Juan,App Mobile,Ana García,995.37
TRX-10496,2023-07-04,Vino Blend,13,2808.54,CLI-768,Catamarca,Tarjeta de Crédito,Soporte Ventas,1235.95
TRX-11131,2023-08-21,Vino Rosado,15,3966.8,CLI-515,Catamarca,Tarjeta de Crédito,Juan Pérez,820.83
TRX-11738,2023-12-16,Espumante,2,9162.22,CLI-1054,San Juan,Efectivo,Luis Rodriguez,1327.23
TRX-10240,2023-10-23,Vino Rosado,9,1662.48,CLI-1277,Neuquén,Efectivo,Soporte Ventas,984.1
TRX-12089,2024-02-03,Syrah,23,10712.57,CLI-1331,Mendoza,Efectivo,Luis Rodriguez,1147.62
TRX-10248,2023-10-20,Espumante,11,7499.32,CLI-1393,San Juan,Efectivo,Luis Rodriguez,1434.8
TRX-10167,2023-09-05,Syrah,12,2368.0,CLI-1081,San Juan,App Mobile,Soporte Ventas,1399.21
TRX-11746,2023-07-30,Cabernet Sauvignon,7,6652.73,CLI-786,La Rioja,Efectivo,Luis Rodriguez,1355.45
TRX-11624,2023-03-11,Vino Chardonnay,1,11034.68,CLI-974,Mendoza,App Mobile,Soporte Ventas,1476.9
TRX-11276,2023-12-04,,19,9891.83,CLI-724,Mendoza,Tarjeta de Crédito,Ana García,406.64
TRX-12011,2023-01-14,Cabernet Sauvignon,10,3856.36,CLI-1084,San Juan,Tarjeta de Crédito,Soporte Ventas,1163.13
TRX-10088,2023-06-03,Vino Rosado,10,8410.25,CLI-1265,Mendoza,Transferencia,Soporte Ventas,1030.77
TRX-10655,2023-05-10,Vino Chardonnay,9,5646.66,CLI-953,Mendoza,Transferencia,Ana García,512.9
TRX-11126,2023-08-22,Vino Chardonnay,11,6281.42,CLI-1113,La Rioja,,Soporte Ventas,853.88
TRX-10008,2023-06-21,Syrah,20,10516.85,CLI-1183,La Rioja,Efectivo,Marta Gómez,209.74
